Frame,ID,State,Confidence
53,13,SITTING,0.33
54,1,SITTING,0.86
54,2,STANDING,0.78
54,3,STANDING,0.86
54,4,SITTING,0.81
54,5,STANDING,0.85
54,6,SITTING,0.73
54,7,SITTING,0.79
54,8,STANDING,0.64
54,9,STANDING,0.61
54,10,SITTING,0.75
54,11,STANDING,0.37
54,13,SITTING,0.29
55,1,SITTING,0.85
55,2,STANDING,0.78
55,3,STANDING,0.86
55,4,SITTING,0.8
55,5,STANDING,0.85
55,6,SITTING,0.73
55,7,SITTING,0.75
55,8,STANDING,0.65
55,9,STANDING,0.58
55,10,SITTING,0.76
55,11,STANDING,0.33
55,13,SITTING,0.26
56,1,SITTING,0.84
56,2,STANDING,0.79
56,3,STANDING,0.86
56,4,SITTING,0.8
56,5,STANDING,0.85
56,6,SITTING,0.72
56,7,SITTING,0.73
56,8,STANDING,0.64
56,9,STANDING,0.64
56,10,SITTING,0.76
56,11,STANDING,0.26
56,13,SITTING,0.26
57,1,SITTING,0.85
57,2,STANDING,0.77
57,3,STANDING,0.86
57,4,SITTING,0.8
57,5,STANDING,0.85
57,6,SITTING,0.7
57,7,SITTING,0.71
57,8,STANDING,0.63
57,9,STANDING,0.64
57,10,SITTING,0.77
57,11,STANDING,0.34
57,13,SITTING,0.26
58,1,SITTING,0.84
58,2,STANDING,0.73
58,3,STANDING,0.85
58,4,SITTING,0.8
58,5,STANDING,0.85
58,6,SITTING,0.73
58,7,SITTING,0.72
58,8,STANDING,0.63
58,9,STANDING,0.66
58,10,SITTING,0.77
58,11,STANDING,0.31
58,13,SITTING,0.19
58,12,STANDING,0.38
59,1,SITTING,0.84
59,2,STANDING,0.74
59,3,STANDING,0.85
59,4,SITTING,0.8
59,5,STANDING,0.85
59,6,SITTING,0.7
59,7,SITTING,0.75
59,8,STANDING,0.63
59,9,STANDING,0.6
59,10,SITTING,0.74
59,11,STANDING,0.28
59,13,SITTING,0.19
59,12,STANDING,0.28
60,1,SITTING,0.84
60,2,SITTING,0.76
60,3,STANDING,0.86
60,4,SITTING,0.8
60,5,STANDING,0.84
60,6,SITTING,0.71
60,7,SITTING,0.66
60,8,STANDING,0.63
60,9,STANDING,0.61
60,10,SITTING,0.73
60,11,STANDING,0.26
60,13,SITTING,0.21
60,12,STANDING,0.37
61,1,SITTING,0.86
61,2,SITTING,0.81
61,3,STANDING,0.87
61,4,SITTING,0.82
61,5,STANDING,0.85
61,6,SITTING,0.62
61,7,SITTING,0.63
61,8,STANDING,0.74
61,9,STANDING,0.73
61,10,SITTING,0.8
61,11,STANDING,0.34
61,13,SITTING,0.21
61,12,STANDING,0.38
62,1,SITTING,0.86
62,2,SITTING,0.82
62,3,STANDING,0.87
62,4,SITTING,0.82
62,5,STANDING,0.85
62,6,SITTING,0.59
62,7,SITTING,0.64
62,8,STANDING,0.74
62,9,STANDING,0.73
62,10,SITTING,0.81
62,11,SITTING,0.36
62,13,SITTING,0.17
62,12,SITTING,0.38
63,1,SITTING,0.86
63,2,SITTING,0.81
